"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
2015788," 15788 (1993 SB)",15788,,,N,N,0,7.94,,,,,,,,,,,,,,,,,,,11,2459800.5,59800,2022-08-09.0000000,J2000,.3228174562394913,39.49734770135286,26.74691438819541,1.935840337128484,354.6625060244345,78.83127422189602,359.7778895381637,52.2477810145103,.003970563757853479,2459856.439275977359,2022-10-03.9392760,90667.22560189263,248.233334981226,25.7633,10026.303461,21.6755,5.344,1.5275E-5,.0011186,.00015722,2.097E-5,.00097594,.0017336,.00068822,.0014797,1.6868E-7,.17104,3.8517,TNO,"Otto Matic",9613,1994-08-15,2020-12-09,120,,,2,.64716,,,,,,,,,
2015789," 15789 (1993 SC)",15789,,,N,N,0,7.09,,,,,,,328,,0.022,,,,,,,,,60,11,2459800.5,59800,2022-08-09.0000000,J2000,.1882339102961004,39.7906397453879,32.30069203293011,5.14522410934523,354.482775628433,318.89297077165,72.83750614455919,47.28058745784569,.003926744927112053,2441251.419910367607,1971-10-26.9199104,91678.98773215302,251.003388725949,31.2882,12176.428794,27.2289,5.541,1.3566E-5,.0015425,.00072764,3.3618E-5,.00032431,.0073813,.0087308,.0018328,2.2833E-7,1.1455,5.3309,TNO,"Otto Matic",9614,1993-09-23,2020-01-19,146,,,2,.68838,,,,,,,,,
2015810," 15810 Arawn (1994 JR1)",15810,Arawn,,N,N,0,7.7,,,,,,,,,,5.49,,,,,,,,,10,2459800.5,59800,2022-08-09.0000000,J2000,.1186186234434852,39.55260433978319,34.86092885939328,3.795960900472466,144.81662563745,104.555669954012,36.41498244674602,44.24427982017308,.003962246099737101,2450610.010179299012,1997-06-10.5101793,90857.55678424072,248.754433358633,33.8494,13173.170998,29.515,5.595,3.3718E-6,.00027114,.00012674,5.4197E-5,.00070966,.0036962,.0032002,.00030331,4.0743E-8,.71748,.93428,TNO,"Otto Matic",9920,1994-05-12,2021-07-09,95,,,2,.42864,,,,,,,,,
2015820," 15820 (1994 TB)",15820,,,N,N,0,7.59,,,,,,,,,,6,,,,,,,,,14,2459800.5,59800,2022-08-09.0000000,J2000,.3208117345391067,39.696992347803,26.96173137671867,12.14280075263825,317.2769950769638,98.74062317641359,5.270857762956122,52.43225331888732,.00394064823098844,2458462.938904973250,2018-12-10.4389050,91355.52804968347,250.117804379695,25.9967,10117.135739,22.0965,5.246,1.5667E-5,.0010952,.00012338,6.914E-6,.0001375,.0010444,.00029692,.0014465,1.6307E-7,.12778,3.7805,TNO,"Otto Matic",9587,1994-10-13,2021-01-11,165,,,2,.68191,,,,,,,,,
2015875," 15875 (1996 TP66)",15875,,,N,N,0,7.36,,,,,,,,,,,,,,,,,,,13,2459800.5,59800,2022-08-09.0000000,J2000,.3335796837914249,39.48984025788308,26.31683183168456,5.700434311710867,316.6681807513911,75.20768502176185,32.31545221778846,52.6628486840816,.003971696081995268,2451664.063689003593,2000-04-29.5636890,90641.3765222303,248.162564058125,25.3279,9856.858843,21.3953,5.300,1.9572E-5,.0013741,.00014457,1.4687E-5,.0003175,.0010825,.0021514,.0018325,2.073E-7,.12349,4.7309,TNO,"Otto Matic",8858,1996-10-11,2021-01-11,155,,,2,.60884,,,,,,,,,
2019299," 19299 (1996 SZ4)",19299,,,N,N,0,8.47,,,,,,,,,,,,,,,,,,,5,2459800.5,59800,2022-08-09.0000000,J2000,.2617611550957261,39.75047503736345,29.34534477597937,4.730637569731424,15.82643545730077,29.99123494596016,16.57701636696485,50.15560529874753,.003932697927547429,2455585.323377649330,2011-01-23.8233776,91540.21148644612,250.623440072406,28.3563,11035.421271,24.3667,5.448,3.1554E-5,.0019995,.00022234,3.5555E-5,.00039575,.00083922,.0010689,.0025229,2.9673E-7,.10654,6.9068,TNO,"Otto Matic",8536,1996-09-16,2020-01-30,73,,,2,.65755,,,,,,,,,
2020108," 20108 (1995 QZ9)",20108,,,N,N,0,7.64,,,,,,,,,,,,,,,,,,,6,2459800.5,59800,2022-08-09.0000000,J2000,.1495416427467713,39.67398246852807,33.74106995587778,19.51797176080091,187.8749810307557,144.61921461,66.55209281171382,45.60689498117836,.00394407693842836,2442926.566288596900,1976-05-28.0662886,91276.10987818438,249.900369276343,32.7502,12745.395334,28.8624,5.278,.00010194,.0096471,.0042602,.0001726,.00019425,.055102,.062358,.01109,1.4386E-6,9.6724,33.292,TNO,"Otto Matic",9591,1995-08-29,2021-12-01,36,,,4,.45106,,,,,,,,,
2024835," 24835 (1995 SM55)",24835,,,N,N,0,4.67,,,,,,,,,,8.08,,,,,,,,,24,2459800.5,59800,2022-08-09.0000000,J2000,.1063490891246937,41.94554076813164,37.48467071459814,26.99198615138677,20.9188344487642,69.21689181586942,339.1933034577975,46.40641082166515,.003628067656823958,2465535.425175132170,2038-04-21.9251751,99226.37449246112,271.667007508449,36.5964,14242.220988,32.9156,5.155,1.2766E-5,.00098534,.00035961,3.2339E-5,4.3725E-5,.0062395,.0056194,.0010901,1.2784E-7,1.3503,3.4964,TNO,"Otto Matic",14315,1982-09-16,2021-11-25,306,,,2,.46533,,,,,,,,,
2024952," 24952 (1997 QJ4)",24952,,,N,N,0,7.60,,,,,,,,,,,,,,,,,,,11,2459800.5,59800,2022-08-09.0000000,J2000,.2305417623214807,39.62540132366576,30.49009146981193,16.54157255766842,346.6956211822249,81.24607836905253,347.9194960749406,48.7607111775196,.003951332378738088,2462857.824154774707,2030-12-22.3241548,91108.50859754068,249.441501978209,29.546,11498.41682,25.6995,5.280,1.8477E-5,.0013849,.00034035,2.7933E-5,9.9454E-5,.0036013,.0027361,.0017042,2.0715E-7,.53344,4.7765,TNO,"Otto Matic",8535,1997-08-28,2021-01-09,95,,,2,.69653,,,,,,,,,
2028978," 28978 Ixion (2001 KX76)",28978,Ixion,,N,N,0,3.47,,,,,,,,,,,,,,,,,,,18,2459800.5,59800,2022-08-09.0000000,J2000,.2471492436556967,39.66538299077098,29.86211358528839,19.64341474425804,71.05995571261788,299.1622195969537,291.2337165797947,49.46865239625357,.003945359625153663,2477230.161666780758,2070-04-28.6616668,91246.43485091142,249.819123479566,28.9078,11250.048526,25.1267,5.170,2.4046E-5,.002503,.0026082,.0001509,4.5607E-5,.010616,.0088472,.0031217,3.7345E-7,.85316,8.637,TNO,"Otto Matic",13122,1982-07-17,2018-06-20,194,,,3,.29521,,,,,,,,,
