Packed MPC designation,Semimajor axis au barycentric,Eccentricity barycentric,Inclination ecliptic J2000 barycentric degrees,Longitude of ascending node ecliptic J2000 barycentric degrees,Argument of perihelion ecliptic J2000 barycentric degrees,Mean anomaly ecliptic J2000 barycentric degrees,Epoch JD,Barycentric element source
15788,39.31587384448324,0.319741142469874,1.937430064354779,354.8332777391669,79.15665458952064,358.6631684084951,2459580.5,JPL Horizons via Astroquery
15789,39.52663773695522,0.1856797945735095,5.156782222534459,354.6511671133012,316.9884366232242,73.97455794501985,2459580.5,JPL Horizons via Astroquery
15810,39.35331828080324,0.1170023144745117,3.803150273657487,144.7523133757021,102.0839145729356,37.77177911586194,2459580.5,JPL Horizons via Astroquery
15820,39.45562819787597,0.3164997266816138,12.13720722213547,317.3904557030145,98.98889104167706,4.28510367514722,2459580.5,JPL Horizons via Astroquery
15875,39.38212202042575,0.3305967994349587,5.691539446676161,316.7695530637558,75.26796081829568,31.57650908644756,2459580.5,JPL Horizons via Astroquery
19299,39.56816875371008,0.2577805035034102,4.737236092074149,15.96356396581881,30.15319667185488,15.69355482100304,2459580.5,JPL Horizons via Astroquery
20108,39.45361962349951,0.1461180120505069,19.55652433271666,188.0095364242024,142.8903110164239,67.56909000687064,2459580.5,JPL Horizons via Astroquery
24952,39.35442335145116,0.2260425665262903,16.56362088823817,346.8326749138668,82.06376456053694,346.3256285767878,2459580.5,JPL Horizons via Astroquery
28978,39.4982203701594,0.2440575080204391,19.63020963121442,71.0305254885185,299.8567043764953,289.3408311094103,2459580.5,JPL Horizons via Astroquery
32929,39.63634135837519,0.2630396920807687,4.83409142716673,342.05995311574,25.1536057314749,22.5341969383693,2459580.5,JPL Horizons via Astroquery
33340,39.24916345185271,0.2518376590332192,3.037540795419179,127.9566188099339,324.2644574868253,11.82319547966593,2459580.5,JPL Horizons via Astroquery
38628,39.4134720965676,0.2760810706552698,15.47375217544597,169.3232331299087,67.88255878900266,10.01988519135069,2459580.5,JPL Horizons via Astroquery
47171,39.4059095126038,0.2245302100877619,8.415254715290414,97.10481275656349,295.0001656823114,9.694182310250646,2459580.5,JPL Horizons via Astroquery
47932,39.34088513442652,0.2810071055515194,10.81464378134589,26.09676412539602,195.150290707692,17.44606459063902,2459580.5,JPL Horizons via Astroquery
55638,39.29438141988724,0.2880321055820338,16.32717909364798,199.8026158683522,206.9801722155346,29.6383675954738,2459580.5,JPL Horizons via Astroquery
69986,39.43635191142041,0.2249692073302205,13.93295269168415,233.9769176714278,146.3073274874453,51.72911085664707,2459580.5,JPL Horizons via Astroquery
69990,39.23238479528579,0.1863679685675157,6.577905708318405,237.1634535674636,141.6599085118731,54.96519588023342,2459580.5,JPL Horizons via Astroquery
84719,39.43416426403131,0.2644610587589988,14.01231125837917,23.08272452025907,288.3429818326676,81.4912980836693,2459580.5,JPL Horizons via Astroquery
84922,39.42258980246798,0.07586920872730467,14.79028158105083,302.7227919111521,112.565379320487,25.77611908526509,2459580.5,JPL Horizons via Astroquery
90482,39.27887256256349,0.2238655824218816,20.56753914505272,268.58329713646,73.01823543021172,183.2617429334954,2459580.5,JPL Horizons via Astroquery
91133,39.35405049862154,0.2280961901288007,5.941867404107449,50.23955209269998,180.8126048568614,33.8011082880443,2459580.5,JPL Horizons via Astroquery
91205,39.26462013956326,0.1323807789768091,10.60518484219971,223.8494906628152,140.8163755819021,68.34318749506268,2459580.5,JPL Horizons via Astroquery
B8228,39.39144143997021,0.1216172743880762,14.66363147468877,10.73223519495022,19.63317765826589,33.50290005394091,2459580.5,JPL Horizons via Astroquery
B9473,39.58899060793296,0.2853590327974931,3.671842905080163,36.37465276742764,47.44311792323376,350.9720621853522,2459580.5,JPL Horizons via Astroquery
C0216,39.37418315711398,0.3150319102798493,29.28002706766359,25.73349270668189,204.5995254341573,5.479784096733315,2459580.5,JPL Horizons via Astroquery
C6155,39.41620479947169,0.2925041046866514,5.976826739147693,319.455848734899,129.3489144763796,19.73966259421385,2459580.5,JPL Horizons via Astroquery
C9746,39.2907793511365,0.2680848167135093,1.474871808702704,171.5847679907568,34.82093251214823,14.21789904602863,2459580.5,JPL Horizons via Astroquery
D1318,39.34227617729496,0.1740480480388061,13.69820781990198,2.083383907314948,171.2748132069177,36.19791564417134,2459580.5,JPL Horizons via Astroquery
